,District,State,Latitude,Longitude,Crop,eff
0,NICOBARS,Andaman and Nicobar,7.835290749774195,93.5116012375786,Coconut ,3734.411082521997
1,ADILABAD,Andhra Pradesh,19.284513950073435,78.81321233480176,Sugarcane,82.3852140077821
2,ANANTAPUR,Andhra Pradesh,14.312065561843148,77.4601584478577,Coconut ,6257.1699442324625
3,CHITTOOR,Andhra Pradesh,13.33109263067696,78.92763898886037,Coconut ,6263.421153347818
4,EAST GODAVARI,Andhra Pradesh,16.782718320784902,82.2432074720511,Coconut ,12826.975634205484
5,GUNTUR,Andhra Pradesh,15.884925767634847,80.58657614107885,Coconut ,11945.257973733584
6,HYDERABAD,Andhra Pradesh,17.38971555555556,78.46668888888888,Dry chillies,2.066666666666667
7,KARIMNAGAR,Andhra Pradesh,18.515483193277312,79.43765428571413,Sugarcane,78.66921110430994
8,KHAMMAM,Andhra Pradesh,17.683921325051784,80.67008643892335,Coconut ,9940.608229156413
9,KRISHNA,Andhra Pradesh,16.143872753151673,81.14805061000413,Coconut ,13000.456938996913
10,KURNOOL,Andhra Pradesh,15.43759715142429,77.90086836581717,Coconut ,5451.227642276423
11,MAHBUBNAGAR,Andhra Pradesh,16.639546224256293,77.98933089244859,Coconut ,11063.5
12,MEDAK,Andhra Pradesh,17.889304978038055,78.13778901903379,Coconut ,10591.0
13,NALGONDA,Andhra Pradesh,17.113250515463907,79.16984453608244,Coconut ,10874.143617021276
14,SPSR NELLORE,Andhra Pradesh,13.894344071421887,80.14702671812498,Coconut ,12854.28303823454
15,NIZAMABAD,Andhra Pradesh,18.429485849056604,78.07523490566035,Coconut ,10520.08695652174
16,PRAKASAM,Andhra Pradesh,15.489039001601704,80.11665790176184,Coconut ,11707.923228346457
17,RANGAREDDI,Andhra Pradesh,17.245235872576178,78.05756828254849,Coconut ,10615.009433962265
18,SRIKAKULAM,Andhra Pradesh,18.570900998697432,84.25874814010675,Coconut ,11635.597601057905
19,VISAKHAPATANAM,Andhra Pradesh,17.6468390339893,83.01014035778171,Coconut ,10611.572377741415
20,VIZIANAGARAM,Andhra Pradesh,18.28329696032972,83.45982854198873,Coconut ,11621.914860681114
21,WARANGAL,Andhra Pradesh,18.01752608695651,79.87422028985509,Papaya,97.02409638554217
22,WEST GODAVARI,Andhra Pradesh,16.63297943925236,81.45912990654196,Coconut ,14905.128930639119
23,CHANGLANG,Arunachal Pradesh,27.36048479338845,96.37552644628106,Sugarcane,11.946446446446446
24,EAST KAMENG,Arunachal Pradesh,27.371194055944056,93.04741486013997,Sugarcane,12.764285714285714
25,EAST SIANG,Arunachal Pradesh,28.15382352941176,95.06499226006191,Sugarcane,38.09473684210526
26,KURUNG KUMEY,Arunachal Pradesh,28.04853351800553,93.24531994459834,Sugarcane,21.551111111111112
27,LOHIT,Arunachal Pradesh,27.946785273972623,96.59670770547945,Potato,8.998943568976141
28,LOWER DIBANG VALLEY,Arunachal Pradesh,28.32651730103806,95.76567335640142,Sugarcane,11.104410441044104
29,LOWER SUBANSIRI,Arunachal Pradesh,27.70849297297297,93.96226108108112,Sugarcane,19.02141802067947
30,PAPUM PARE,Arunachal Pradesh,27.273529716981127,93.54468183962264,Sugarcane,17.489249339871748
31,TAWANG,Arunachal Pradesh,27.680683962264148,91.82504245283016,Potato,6.506749418153608
32,TIRAP,Arunachal Pradesh,26.94406229508198,95.41470327868862,Sugarcane,13.736434108527131
