,dist,crop,eff
0,24 PARAGANAS NORTH,Coconut ,3258.6201896766993
1,24 PARAGANAS SOUTH,Coconut ,2244.8918277181874
2,ADILABAD,Sugarcane,82.3852140077821
3,AGAR MALWA,Sugarcane,37.857142857142854
4,AGRA,Sugarcane,48.45886421550782
5,AHMADABAD,Sugarcane,67.77777777777777
6,AHMEDNAGAR,Banana,111.7
7,AIZAWL,Tapioca,12.574759945130316
8,AJMER,Sugarcane,53.81071428571428
9,AKOLA,Sugarcane,69.77147213281383
10,ALAPPUZHA,Coconut ,5349.394022029876
11,ALIGARH,Sugarcane,58.66216112433761
12,ALIRAJPUR,Sugarcane,41.111111111111114
13,ALLAHABAD,Sugarcane,51.064436851885155
14,ALMORA,Potato,11.638583112969682
15,ALWAR,Sugarcane,46.12348178137652
16,AMBALA,Sugarcane,56.25557669519731
17,AMBEDKAR NAGAR,Sugarcane,53.22608934101858
18,AMETHI,Sugarcane,61.16720905005424
19,AMRAVATI,Banana,69.975
20,AMRELI,Banana,77.0
21,AMRITSAR,Sugarcane,65.90558534358834
22,AMROHA,Sugarcane,61.691214783171134
23,ANAND,Banana,73.11679644048944
24,ANANTAPUR,Coconut ,6257.1699442324625
25,ANANTNAG,Potato,8.875159235668791
26,ANJAW,Potato,8.376007162041182
27,ANUGUL,Sugarcane,56.53563843563845
28,ANUPPUR,Sugarcane,26.71232876712329
29,ARARIA,Sugarcane,40.5005980861244
30,ARIYALUR,Coconut ,3249.2075471698113
31,ARWAL,Sugarcane,45.61764705882353
32,ASHOKNAGAR,Papaya,40.63636363636363
33,AURAIYA,Sugarcane,55.7824919724167
34,AURANGABAD,Sugarcane,67.34188210449904
35,AZAMGARH,Sugarcane,45.39695895431786
36,BADGAM,Potato,11.174120603015076
37,BAGALKOT,Sugarcane,97.16992420569095
38,BAGESHWAR,Potato,12.196996996996997
39,BAGHPAT,Sugarcane,68.15961224708914
40,BAHRAICH,Sugarcane,52.494517103994376
41,BAKSA,Coconut ,5888.98862495818
42,BALAGHAT,Sugarcane,39.880195599022
43,BALANGIR,Sugarcane,66.82285884972573
44,BALESHWAR,Sugarcane,45.78717114986699
45,BALLIA,Banana,44.01923076923077
46,BALOD,Banana,25.98181818181818
47,BALODA BAZAR,Banana,34.979166666666664
48,BALRAMPUR,Sugarcane,50.060998837617284
49,BANAS KANTHA,Sugarcane,50.0
50,BANDA,Sugarcane,38.714824230735516
51,BANDIPORA,Potato,11.37021484375
52,BANGALORE RURAL,Sugarcane,92.41353223228556
53,BANKA,Sugarcane,54.90627288259702
54,BANKURA,Coconut ,2426.384058544304
55,BANSWARA,Sugarcane,49.1968199398367
56,BARABANKI,Sugarcane,53.17075823237795
57,BARAMULLA,Potato,9.262854686156492
58,BARAN,Sugarcane,57.153554502369666
59,BARDHAMAN,Coconut ,2038.3525146095274
60,BAREILLY,Sugarcane,57.96602982162765
61,BARGARH,Sugarcane,70.20279703122125
62,BARMER,Barley,2.3692307692307693
63,BARNALA,Sugarcane,88.5
64,BARPETA,Coconut ,5095.41688764829
65,BARWANI,Papaya,34.65625
66,BASTAR,Papaya,45.583333333333336
67,BASTI,Sugarcane,54.255017670802715
68,BATHINDA,Sugarcane,60.0
69,BEED,Sugarcane,69.43905148868733
70,BEGUSARAI,Sugarcane,55.870848044617354
71,BELGAUM,Sugarcane,87.35108536806793
72,BELLARY,Sugarcane,89.50978043912176
73,BEMETARA,Banana,27.51294498381877
74,BENGALURU URBAN,Sugarcane,93.43200836820084
75,BETUL,Sugarcane,42.573379407968694
76,BHADRAK,Sugarcane,64.69864505202034
77,BHAGALPUR,Sugarcane,58.94970798852591
